Id,Label,time,friends,followers,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,clustering
298851883,,83624,11,10,6,1,1,2,4,0.474359,0.493243,0,0,1,0
8281507,,16929,11,11,0,0,0,0,0,0,0,0,1,2,0
155903406,,1225,10,12,6,2,0,2,0,0,0,0,0,0,1
299376005,,27843,12,11,2,8,10,18,2,0.578125,0.635135,69.865152,0,1,0.3
154903810,,56445,11,12,4,4,5,9,2,0.536232,0.567568,6.081818,0,1,0.7
128741985,,55202,11,12,1,1,0,1,0,0,0,0,2,3,0
56946133,,423,11,10,4,3,3,6,3,0.513889,0.536036,4.581818,0,1,0.666667
149866425,,11737,11,8,4,1,1,2,4,0.33945,0.378378,0,0,1,0
36026186,,31299,10,10,2,5,5,10,3,0.521127,0.558559,1.916667,0,1,0.7
152808517,,868,11,12,6,2,1,3,4,0.385417,0.412162,0,0,1,1
316350263,,1295,10,7,6,1,1,2,4,0.474359,0.493243,0,0,1,0
36789569,,37171,12,12,4,4,4,8,3,0.521127,0.54955,5.981818,0,1,0.7
31861159,,10679,13,14,4,12,13,25,3,0.506849,0.621622,180.483333,0,1,0.173077
273283656,,147174,9,9,4,2,1,3,4,0.385417,0.412162,0,0,1,1
528216482,,76576,9,8,6,1,1,2,4,0.474359,0.493243,0,0,1,0
163941732,,15096,10,9,3,0,0,0,0,0,0,0,3,4,0
199864737,,88,10,9,6,1,1,2,4,0.474359,0.493243,0,0,1,0
150306249,,3449,7,7,6,2,1,3,5,0.232704,0.258108,0,0,1,0.5
208507590,,236,11,10,4,4,5,9,3,0.528571,0.563063,8.198485,0,1,0.5
44568087,,4052,11,10,2,3,3,6,3,0.5,0.527027,1,0,1,0.666667
52580135,,87104,11,11,4,1,3,4,3,0.506849,0.531532,0,0,1,1
123056604,,131,9,10,6,1,1,2,4,0.474359,0.493243,0,0,1,0
28058172,,313,14,14,4,15,15,30,3,0.616667,0.698198,161.931818,0,1,0.258333
35633103,,1771,15,15,4,3,3,6,3,0.513889,0.536036,4.581818,0,1,0.666667
377292727,,1076,8,9,2,6,2,8,3,0.493333,0.513514,0.7,0,1,0.466667
81376969,,344645,10,10,2,4,5,9,3,0.521127,0.558559,1.5,0,1,0.65
799414338,,12519,9,9,2,7,7,14,3,0.544118,0.59009,18.198485,0,1,0.547619
54383552,,1350,11,11,6,1,1,2,4,0.474359,0.493243,0,0,1,0
152596395,,76857,11,10,6,1,1,2,4,0.474359,0.493243,0,0,1,0
454444550,,24065,9,8,6,1,1,2,4,0.296,0.322072,0,0,1,0
58333877,,207996,10,9,6,1,1,2,4,0.474359,0.493243,0,0,1,0
208274276,,2604,12,14,6,7,4,11,3,0.41573,0.468468,152.181818,0,1,0.309524
152956306,,88057,13,13,5,0,0,0,0,0,0,0,4,5,0
61076387,,3042,12,11,6,2,2,4,3,0.5,0.518018,60.133333,0,1,0.5
300081220,,16561,10,9,4,6,5,11,3,0.521127,0.558559,2.45,0,1,0.633333
210910383,,0,12,13,6,28,33,61,3,0.880952,0.941441,905.734848,0,1,0.065341
515754837,,86287,11,10,2,0,1,1,3,0.372549,0.394737,0,0,6,0
163949361,,2946,11,12,6,3,2,5,4,0.300813,0.34009,38.181818,0,1,0.333333
17274818,,8362,13,13,4,8,8,16,3,0.552239,0.603604,22.131818,0,1,0.375
58336853,,22211,11,10,6,1,1,2,4,0.474359,0.493243,0,0,1,0
258442032,,16317,8,7,4,3,3,6,3,0.513889,0.536036,4.581818,0,1,0.666667
638303904,,223642,5,5,7,0,0,0,0,0,0,0,5,7,0
57993902,,17577,11,10,2,4,4,8,3,0.513889,0.545045,2.583333,0,1,0.666667
52584520,,34983,13,12,6,1,1,2,4,0.474359,0.493243,0,0,1,0
642187656,,58818,7,7,1,0,1,1,1,1,1,0,2,8,0
